"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","35","1.09280002117157","1799","21.886","6.88499999999999","0.0695228904","2.19996783476112","0.578949471757323","18.42975468",
"1/2/1979","35","1.09280002117157","1799","21.723","8.99000000000001","0","2.28679369276608","0.595363311974119","17.8520571",
"1/3/1979","35","1.09280002117157","1799","22.85","8.54700000000003","0","2.83100066608188","0.550420159047013","25.19668008",
"1/4/1979","35","1.09280002117157","1799","23.016","8.09300000000002","0","2.9899398754462","0.555624074897292","24.85305486",
"1/5/1979","35","1.09280002117157","1799","23.341","8.14499999999998","0","2.9883358364087","0.593101630816706","27.7999398",
"1/6/1979","35","1.09280002117157","1799","22.949","8.64600000000002","0.288391392","2.71149210797687","0.659722446140001","18.3747915",
"1/7/1979","35","1.09280002117157","1799","21.115","9.40100000000001","0.8274077064","3.11475669621102","0.728612582581564","17.96017644",
"1/8/1979","35","1.09280002117157","1799","21.922","9.15600000000001","7.6269118248","3.11804515077871","0.792500037122888","18.57724002",
"1/9/1979","35","1.09280002117157","1799","22.545","10.378","0.5304338928","3.30139165290085","0.68957548432343","27.53949564",
"1/10/1979","35","1.09280002117157","1799","21.336","8.46600000000001","0","3.06503830454193","0.689521522023232","21.34417392",
"1/11/1979","35","1.09280002117157","1799","22.789","8.60399999999999","0","3.10054704196267","0.663597844708726","26.2648719",
"1/12/1979","35","1.09280002117157","1799","22.028","8.91399999999999","0","3.54756407236947","0.696707617909876","22.50781506",
"1/13/1979","35","1.09280002117157","1799","22.842","8.73500000000001","0","3.39086666935325","0.696086227808452","24.9508692",
"1/14/1979","35","1.09280002117157","1799","23.629","10.273","1.7372132064","2.83666734268796","0.725486320864079","17.65507104",
"1/15/1979","35","1.09280002117157","1799","22.811","9.053","0.127029636","2.1673944241046","0.637902822334058","21.76239888",
"1/16/1979","35","1.09280002117157","1799","21.768","9.20600000000002","0.320148792","2.67271425848428","0.681904089127508","17.30121156",
"1/17/1979","35","1.09280002117157","1799","23.089","10.151","0.0308990448","4.02626770161644","0.67053067866897","25.64414352",
"1/18/1979","35","1.09280002117157","1799","22.854","9.15800000000002","0","4.51384890499359","0.653391675377388","28.6567812",
"1/19/1979","35","1.09280002117157","1799","22.522","9.05399999999997","0","4.30534640136667","0.642327591904947","28.6900308",
"1/20/1979","35","1.09280002117157","1799","19.982","9.62599999999998","0.157928472","3.10585249177311","0.751890896120794","14.41535508",
"1/21/1979","35","1.09280002117157","1799","22.992","9.78899999999999","0.0034332264","2.83043319305708","0.667755401516214","18.96975036",
"1/22/1979","35","1.09280002117157","1799","21.27","10.968","0.2180100384","2.91926399764867","0.669699666398699","17.14410036",
"1/23/1979","35","1.09280002117157","1799","23.29","9.91000000000003","0.192260664","2.87750766306659","0.66240827452497","19.56127032",
"1/24/1979","35","1.09280002117157","1799","21.625","10.641","0.890922456","2.65950785463418","0.737513685618091","15.46846812",
"1/25/1979","35","1.09280002117157","1799","24.605","10.556","0","3.10319726678787","0.650637023246177","23.76022464",
"1/26/1979","35","1.09280002117157","1799","23.269","10.373","3.12080544","3.28097271282442","0.664170554646557","21.36284928",
"1/27/1979","35","1.09280002117157","1799","23.479","11.027","0.135612468","2.69242235289929","0.668177571553582","17.39474784",
"1/28/1979","35","1.09280002117157","1799","25.172","10.338","0.703811772","2.30853896386356","0.621109376227168","19.94709024",
"1/29/1979","35","1.09280002117157","1799","20.566","14.71","26.7499926","1.23037925976324","0.800468289053458","8.88283332",
"1/30/1979","35","1.09280002117157","1799","16.313","13.268","39.25379502","1.72562447066455","0.902071443805646","3.070684872",
"1/31/1979","35","1.09280002117157","1799","19.03","13.159","45.5159664","1.55408777077983","0.890546970715503","13.377495168",
"2/1/1979","35","1.09280002117157","1799","18.611","13.7","23.15883528","2.21450197397758","0.868979016576709","13.699005408",
"2/2/1979","35","1.09280002117157","1799","20.829","11.71","0.918388008","2.35588233146198","0.771133832250672","18.14968368",
"2/3/1979","35","1.09280002117157","1799","21.582","11.294","1.79557632","2.51744154644272","0.701034842340991","24.96408372",
"2/4/1979","35","1.09280002117157","1799","23.53","10.627","0.074672856","2.06923230060534","0.650593768860559","26.56687176",
"2/5/1979","35","1.09280002117157","1799","21.811","13.899","4.32929628","2.10075088688637","0.713461630825123","12.161198088",
"2/6/1979","35","1.09280002117157","1799","21.964","13.867","2.4616234944","2.21964790155594","0.639063016474146","25.69291812",
"2/7/1979","35","1.09280002117157","1799","23.91","10.985","0","2.31199265366571","0.61895008570029","29.61989172",
"2/8/1979","35","1.09280002117157","1799","24.064","11.478","0.022315968","2.24678113615227","0.575884761183705","22.14837504",
"2/9/1979","35","1.09280002117157","1799","22.146","14.128","6.473350548","2.03392246617482","0.665386309646124","25.677562752",
